Designator,Mid X,Mid Y,Rotation,Layer
J1,142.225,-89.662,90.0,top
O1,152.467,-99.038447,0.0,top
R1,142.24,-95.224,270.0,top
R2,144.78,-95.224,270.0,top
R3,138.176,-95.25,270.0,top
