Designator,Mid X,Mid Y,Rotation,Layer
BACK,89.356,-99.024,0.0,top
J2,78.994,-99.06,0.0,top
R1,121.158,-90.45,270.0,top
R2,115.062,-90.45,270.0,top
R3,95.25,-90.652,270.0,top
R4,89.408,-90.704,270.0,top
SELECT,120.852,-98.952,0.0,top
SW3,104.85,-106.39,0.0,top
UP,104.85,-91.404,0.0,top
